State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000,Total % Positive,% Positive Last 30 Days,% Positive Last 7 Days,# Tests per 100K,Total # Tests,# Tests per 100K Last 7 Days,Total # Tests Last 7 Days,# Tests per 100K Last 30 Days,Total # Tests Last 30 Days,New Cases,New Deaths
New Hampshire,340880,0,0,1368,25070,2640,N/A,N/A,7,194,100.6,0.5,5-7.9%,10-14.9%,10-14.9%,300291.8885,4102813,831.24,11357,3573.07,48818,217,3
New Jersey,2631275,2241517,389758,21352,29624,34385,31285,3100,65,387,240.4,0.7,8-9.9%,10-14.9%,10-14.9%,321739.4995,28578096,1616.05,143544,7096.3,630320,3496,10
New Mexico,600612,0,0,5059,28644,8307,N/A,N/A,34,396,241.3,1.6,15-19.9%,20-24.9%,20-24.9%,321433.3157,6770411,1476.56,31101,7086.39,149262,855,4
New York City,2766726,2339812,426914,19007,32942,41303,35704,5599,87,491,226.3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
New York*,3117860,0,0,18041,28204,28641,N/A,N/A,72,259,163.2,0.7,5-7.9%,10-14.9%,10-14.9%,482380.7081,93276877,2033.24,393163,8476.5,1639082,3179,10
North Carolina,3050540,2531196,519344,19285,29086,25728,22400,3328,9,245,183.9,0.1,10-14.9%,20-24.9%,20-24.9%,224784.8493,23829044,1086.92,115222,4402.09,466658,0,0
North Dakota,260778,193197,67581,1822,34220,2326,N/A,N/A,7,305,239.1,0.9,5-7.9%,10-14.9%,15-19.9%,313397.987,2398463,704.94,5395,3076.14,23542,271,0
Northern Mariana Islands,12866,12866,0,134,24813,39,39,0,1,68,258.4,1.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Ohio,3002043,2294234,707809,26016,25682,39220,39220,0,87,335,222.6,0.7,10-14.9%,20-24.9%,15-19.9%,195577.1025,22869255,854.91,99967,3390.71,396483,26016,87
Oklahoma,1144252,822851,321401,11538,28917,14623,10280,4343,30,369,291.6,0.8,20-24.9%,25% +,25% +,110017.175,4379545,480.84,19141,2235.11,88975,0,0
